model,dir,decoder_accuracy,rs_bpp,psnr,ssim
dcgan,d1,0.97,0.94,24.34,0.87
dcgan,d2,0.92,1.69,24.23,0.85
dcgan,d3,0.78,1.69,24.75,0.87
dcgan,d4,0.69,1.53,25.0,0.88
dcgan,d5,0.65,1.52,25.45,0.89
dcgan,d6,0.64,1.64,25.39,0.9
wgan,d1,0.97,0.94,24.32,0.86
wgan,d2,0.92,1.68,23.87,0.84
wgan,d3,0.77,1.63,24.43,0.86
wgan,d4,0.69,1.52,24.95,0.87
wgan,d5,0.65,1.53,25.01,0.88
wgan,d6,0.63,1.61,25.35,0.89
wgan-gp,d1,0.96,0.92,25.09,0.89
wgan-gp,d2,0.9,1.6,24.76,0.87
wgan-gp,d3,0.75,1.49,24.76,0.89
wgan-gp,d4,0.68,1.46,25.01,0.9
wgan-gp,d5,0.64,1.43,25.37,0.91
wgan-gp,d6,0.62,1.45,25.32,0.91
